"alpha","phi","tau","Aff","Apt","AptNet","AptNet_market","E_apt","Erent","Tax","PV","Density","Q1","Q2","Q3","Q4","Q5","Erent_chg","Erent_chg_perc","AptNet_chg","Aff_chg","Density_chg","Tax_chg","PV_chg"
0,0.15,10,737.915000152258,297543.641141343,202173.61337759,201435.698377438,4030758.36250697,2748.8855277773,389259.949829818,1525632.82245875,61.6333597726013,836297.699453556,815568.331697002,760120.715663561,757665.243520062,861104.353093841,34.7097790389098,0.0127883314317592,75959.036926371,289.259344198881,0.0192067993020673,-0.0309383283318542,-0.0203583615460976
0,0.15,12.5,807.271918719978,319257.448518307,213488.466426063,212681.194507343,4042073.21555544,2753.73810003609,386573.349483233,1521600.8637868,61.8063724779019,841902.971059459,818896.811467281,756314.487745244,752059.312856369,872897.613348142,39.5623512976999,0.0145761936440887,87273.889974844,358.616262766601,0.0220678428385321,-0.0376266131762213,-0.0229473689018792
0,0.15,15,873.542183861922,339084.775990896,223589.803776378,222716.261592516,4052174.55290576,2758.09049765712,383997.195622256,1518054.83738221,61.9608296055947,848746.16879339,819474.504918037,753763.095718193,746148.831222513,884039.933174677,43.9147489187299,0.0161797735239297,97375.227325159,424.886527908545,0.0246220400350827,-0.0440399417708638,-0.0252243487005932
0,0.15,17.5,936.129903349609,357067.280881128,232561.024412358,231624.894509008,4061145.77354174,2762.02122216845,381571.234540208,1514991.41843502,62.0980063895468,855157.183624257,820332.495981034,749345.03185105,743173.339864779,893135.703141669,47.8454734300599,0.017627993858651,106346.447961139,487.474247396232,0.0268904789361295,-0.050079365817954,-0.0271914358742025
0,0.15,2.5,525.328051834351,222402.662226223,160799.544699905,160274.21664807,3989384.29382928,2731.80360325252,397683.858555326,1541543.02141523,61.0007188076186,811372.453757156,803662.075404257,778348.953032938,775992.331691133,820006.460864851,17.6278545141299,0.00649473584100946,34584.968248686,76.672395880974,0.00874506274565734,-0.00996702862560483,-0.0101420807055124
0,0.15,20,994.547203234943,373281.070131672,240505.711385937,239511.164182703,4069090.46051532,2765.55515120616,379312.066877244,1512344.565729,62.219486693372,861206.773622317,820859.010855579,746263.491368302,738637.707133293,902121.458456877,51.37940246777,0.0189300204644642,114291.134934718,545.891547281566,0.0288993512756666,-0.0557035580653396,-0.0288910369076233
0,0.15,22.5,1048.56463127251,387832.765284754,247522.839374944,246474.274743672,4076107.58850432,2768.72220740389,377226.781301998,1510059.77250281,62.3267839151404,865248.158425804,822300.779421647,742880.982585631,734980.789505547,910694.859486747,54.5464586654998,0.0200968779161976,121308.262923725,599.908975319133,0.0306736835265136,-0.0608948712901827,-0.0303581517642805
0,0.15,25,1098.15429193679,400831.113534858,253703.203254692,252605.048962755,4082287.95238407,2771.55256092597,375317.313534172,1508090.96033834,62.421286377523,868848.222723646,822678.70785037,741304.361983986,731287.053000038,918167.587747083,57.3768121875796,0.0211396819878924,127488.626803473,649.498635983413,0.0322364338384631,-0.0656484865231264,-0.0316223683871905
0,0.15,27.5,1143.38565718964,412405.93866336,259139.991951547,257996.606294357,4087724.74108093,2774.07348784027,373579.346226507,1506393.09383177,62.5044190100513,871906.275907498,823753.708669193,738375.944703146,729754.441492372,923932.351229769,59.8977391018798,0.0220684821643262,132925.415500328,694.730001236263,0.0336111657146634,-0.0699751517893753,-0.0327126049774675
0,0.15,30,1184.44276744669,422680.429543099,263913.495987921,262729.053220475,4092498.2451173,2776.31423413512,372006.279237412,1504929.78366449,62.5774095158545,874284.580454434,824776.927525458,735809.283870329,727713.30909471,929912.125093423,62.1384853967297,0.0228940537198496,137698.919536702,735.787111493313,0.0348181812022759,-0.0738912981249149,-0.0336522278990103
0,0.15,5,595.39553934091,248936.508180555,175830.352645435,175234.957106094,4004415.10177481,2737.94114020133,394874.780501326,1535599.45109901,61.2305512883739,820267.940837255,808321.886307234,770814.547119656,771839.634690894,833169.073740827,23.76539146294,0.00875602527728225,49615.776194216,146.739883387533,0.0125457127175319,-0.0169602214162982,-0.0139585750002954
0,0.15,7.5,666.858849174415,274073.240256745,189638.996468361,188972.137619187,4018223.74559774,2743.64498849573,392047.023712134,1530304.69851397,61.4416959505363,828973.182026011,812342.707456197,765050.165508048,764189.967883748,847665.703644788,29.4692397573399,0.010857528209453,63424.420017142,218.203193221038,0.0160373295319687,-0.0239999148715417,-0.0173584494794359
